,Headway,Velocity
0,2.25,2.0
1,1.11,2.39
2,1.98,1.03
3,0.62,1.63
4,2.2,0.56
5,2.05,1.78
6,1.54,2.83
7,1.05,1.83
8,2.18,2.12
9,1.7,2.17
10,0.87,1.91
11,0.96,1.72
12,1.87,2.15
13,2.06,1.77
14,2.01,2.2
15,1.91,2.3
16,0.03,1.17
17,2.79,3.15
18,2.18,1.48
19,0.69,1.34
20,1.38,1.26
21,2.29,2.37
22,0.76,1.89
23,1.19,2.76
24,2.65,1.69
25,2.31,1.97
26,1.18,1.29
27,1.66,1.96
28,1.17,1.18
29,0.15,2.08
30,1.77,1.71
31,2.29,1.96
32,1.19,2.93
33,0.02,2.83
34,0.72,2.06
35,1.71,0.2
36,1.86,1.31
37,0.39,2.53
38,1.46,2.72
39,2.35,1.54
40,1.95,1.11
41,1.68,1.87
42,1.18,1.53
43,1.78,0.52
44,1.6,1.54
45,0.32,2.14
46,1.03,0.21
47,2.74,1.79
48,0.81,1.81
49,2.64,1.18
50,2.01,1.74
51,0.67,1.91
52,1.99,1.17
53,1.26,1.74
54,1.65,1.88
55,1.75,2.02
56,1.86,2.67
57,1.57,0.84
58,2.47,0.42
59,1.85,2.69
60,1.17,1.83
61,1.84,3.03
62,2.13,1.41
63,0.87,2.43
64,1.1,0.29
65,1.58,1.71
66,1.38,1.08
67,1.73,2.36
68,1.1,1.62
69,0.94,2.2
70,1.7,2.58
71,1.36,0.85
72,0.5,2.35
73,1.13,1.87
74,1.29,1.44
75,1.17,1.98
76,1.05,1.44
77,1.63,3.03
78,1.75,1.8
79,1.12,2.71
80,2.85,1.01
81,1.61,1.65
82,0.43,0.73
83,2.27,1.61
84,0.82,1.67
85,0.84,2.53
86,2.02,2.18
87,1.51,1.04
88,1.11,1.87
89,2.35,1.02
90,0.74,3.08
91,1.97,1.57
92,1.16,0.85
93,2.58,2.36
94,1.54,2.07
95,2.52,2.1
96,0.33,3.02
97,0.96,2.25
98,0.08,1.7
99,1.76,0.47
100,1.18,2.35
101,1.99,2.16
102,0.73,2.11
103,2.15,1.08
104,0.14,1.25
105,2.68,2.08
106,1.58,2.34
107,1.16,1.45
108,1.79,1.43
109,2.62,1.65
110,2.09,1.64
111,0.73,1.78
112,1.38,1.74
113,0.83,1.6
114,2.74,2.08
115,1.17,1.56
116,1.49,2.77
117,1.9,1.33
118,0.65,2.06
119,2.18,1.92
120,2.16,1.97
121,1.4,2.4
122,1.04,0.78
123,1.51,3.23
124,1.62,2.25
125,1.58,2.68
126,1.94,2.2
127,1.98,2.36
128,0.58,1.55
129,0.55,1.55
130,1.06,3.31
131,1.76,2.51
132,1.24,2.03
133,1.84,2.26
134,1.41,2.83
135,2.24,2.44
136,1.85,1.0
137,2.74,2.8
138,1.73,0.62
139,1.48,1.93
140,0.37,2.86
141,0.72,0.19
142,2.56,1.44
143,2.84,1.77
144,0.81,1.87
145,0.9,1.86
146,2.96,2.96
147,1.18,1.12
148,0.82,2.29
149,1.22,1.92
150,0.64,1.63
151,0.84,0.88
152,0.66,1.95
153,1.96,2.01
154,1.04,0.55
155,1.02,1.13
156,3.25,1.38
157,1.44,1.68
158,2.84,1.39
159,1.56,1.37
160,2.21,1.05
161,1.56,0.83
162,1.04,3.28
163,3.55,2.09
164,1.06,2.67
165,2.7,1.53
166,1.84,2.55
167,1.76,2.43
168,2.37,0.76
169,2.6,2.54
170,1.34,1.74
171,1.72,0.74
172,2.13,1.53
173,1.75,0.37
174,2.11,1.34
175,1.37,1.28
176,2.6,2.25
177,0.34,3.09
178,1.6,1.07
179,1.97,0.76
180,2.23,1.06
181,1.93,0.96
182,2.0,1.65
183,0.6,1.91
184,0.97,2.13
185,1.11,1.51
186,1.49,1.47
187,1.39,1.46
188,1.64,1.58
189,2.12,3.21
190,1.22,2.86
191,1.88,2.8
192,2.23,2.65
193,0.56,2.84
194,0.38,2.63
195,0.66,0.53
196,1.15,1.46
197,2.09,2.45
198,2.09,2.06
199,1.99,1.72
200,0.87,2.34
201,1.57,1.77
202,2.2,2.12
203,0.35,1.07
204,1.51,2.02
205,2.09,2.89
206,1.04,1.58
207,2.44,2.13
208,1.72,1.83
209,1.38,1.23
210,2.31,2.41
211,1.67,2.18
212,0.71,1.19
213,1.42,2.5
214,2.66,2.07
215,1.64,1.37
216,1.42,0.96
217,3.87,1.38
218,2.28,2.31
219,0.32,3.08
220,1.27,1.92
221,2.96,3.92
222,0.41,1.65
223,2.44,2.02
224,2.62,1.76
225,1.38,0.59
226,1.84,1.48
227,2.49,0.66
228,1.3,3.34
229,1.06,1.55
230,2.19,1.6
231,2.02,1.21
232,0.61,1.05
233,2.02,1.33
234,1.3,0.9
235,1.13,0.95
236,0.5,2.86
237,1.37,2.65
238,0.15,1.77
239,1.29,1.62
240,2.58,2.05
241,2.21,0.07
242,3.14,2.03
243,1.06,1.87
244,1.73,2.13
245,0.45,1.33
246,0.62,0.91
247,0.93,2.98
248,1.48,1.63
249,1.53,1.44
250,0.57,1.16
251,1.42,2.6
252,1.87,1.82
253,2.38,2.14
254,2.11,0.82
255,2.35,1.04
256,0.64,2.06
257,1.21,1.45
258,2.03,1.18
259,0.97,2.17
260,1.37,1.51
261,1.33,2.15
262,1.26,1.49
263,1.26,3.04
264,1.76,2.26
265,0.65,0.74
266,1.85,1.39
267,1.62,0.9
268,0.59,3.01
269,1.4,0.88
270,2.85,1.32
271,2.0,1.91
272,0.88,1.8
273,2.07,2.36
274,2.03,2.0
275,1.65,1.62
276,0.71,1.01
277,0.47,2.58
278,0.64,1.69
279,3.2,2.42
280,1.78,1.15
281,1.3,1.54
282,1.81,1.28
283,2.26,1.42
284,1.89,2.48
285,0.28,1.09
286,1.73,2.2
287,2.55,1.12
288,1.4,1.38
289,1.28,1.89
290,0.2,1.08
291,1.25,1.28
292,0.73,1.49
293,2.91,0.88
294,1.48,1.52
295,0.9,0.38
296,1.79,1.6
297,2.39,2.43
298,1.4,1.35
299,2.12,2.73
300,1.39,0.6
301,1.22,1.95
302,0.53,1.84
303,0.97,2.11
304,0.07,1.65
305,0.63,1.36
306,1.47,2.5
307,0.69,1.37
308,0.95,1.37
309,1.96,1.04
310,0.35,1.3
311,0.66,1.16
312,1.47,1.6
313,2.89,2.55
314,4.4,2.44
315,2.52,1.12
316,2.32,0.82
317,1.73,1.6
318,0.78,1.98
319,2.08,0.06
320,1.1,2.55
321,0.92,1.16
322,1.44,1.01
323,2.33,1.74
324,0.84,1.68
325,1.32,1.87
326,0.74,0.97
327,1.53,3.21
328,1.38,2.44
329,0.16,1.72
330,1.5,2.41
331,1.78,1.69
332,0.94,2.65
333,1.86,1.47
334,1.51,2.06
335,0.46,1.81
336,2.14,2.15
337,1.62,1.84
338,2.05,0.52
339,2.05,0.95
340,1.72,1.36
341,2.93,1.98
342,2.32,0.12
343,0.85,2.2
344,1.33,1.91
345,0.82,1.25
346,1.6,1.34
347,0.98,1.17
348,1.76,1.89
349,1.07,2.47
350,1.25,1.89
351,1.88,2.3
352,2.12,1.08
353,0.78,1.75
354,1.21,1.73
355,1.1,2.55
356,1.87,1.71
357,0.7,1.64
358,0.69,1.95
359,1.49,1.88
360,2.13,1.85
361,1.99,2.64
362,2.88,1.94
363,1.08,1.83
364,1.0,0.64
365,0.97,2.6
366,1.66,0.85
367,2.15,2.32
368,0.82,0.93
369,2.09,0.46
370,2.33,2.0
371,2.93,1.82
372,1.66,1.68
373,1.45,1.81
374,2.76,1.86
375,1.66,0.74
376,1.69,0.93
377,1.85,0.63
378,0.62,0.69
379,1.48,1.97
380,0.09,2.24
381,2.6,0.77
382,1.2,1.68
383,2.82,2.41
384,0.83,2.0
385,0.87,2.56
386,1.58,2.14
387,0.94,1.48
388,1.01,2.05
389,1.12,2.52
390,2.34,2.86
391,2.37,1.58
392,1.25,1.6
393,1.94,2.32
394,1.11,1.66
395,2.66,1.14
396,0.13,1.08
397,1.21,0.12
398,0.65,1.07
399,2.57,1.47
400,0.77,0.94
401,1.63,1.64
402,1.08,1.45
403,2.29,2.28
404,1.94,1.71
405,1.56,0.91
406,1.72,1.94
407,0.06,3.0
408,0.5,1.43
409,1.84,2.17
410,2.78,2.02
411,0.84,0.97
412,2.14,2.42
413,1.29,1.32
414,2.76,2.3
415,1.48,1.59
416,1.86,1.8
417,1.04,0.01
418,0.92,1.77
419,0.58,0.83
420,1.83,1.11
421,0.48,1.78
422,0.48,2.06
423,3.01,1.14
424,0.52,1.69
425,3.13,0.64
426,1.3,1.98
427,2.49,1.6
428,1.07,3.18
429,1.86,3.11
430,1.94,1.73
431,1.89,2.49
432,1.29,0.62
433,1.5,1.91
434,2.62,2.2
435,1.31,3.27
436,1.26,0.51
437,0.0,2.53
438,2.49,1.93
439,2.32,2.16
440,2.67,1.87
